helper_id,chunk_id,event,decoded_count,timestamp
2,13,RECOVERED,7,1780307939.0408597
2,22,RECOVERED,8,1780307939.0418074
2,24,SENT,8,1780307940.9682732
2,13,SENT,8,1780307942.81226
2,22,SENT,8,1780307944.2962687
2,11,RECOVERED,9,1780307961.9069788
2,11,SENT,9,1780307963.7402716
2,18,RECOVERED,10,1780307975.0689142
2,18,SENT,10,1780307976.7002442
2,26,RECOVERED,11,1780307986.9885266
2,26,SENT,11,1780307988.7842603
2,10,RECOVERED,12,1780307988.785919
2,10,SENT,12,1780307990.496253
2,21,RECOVERED,13,1780307998.9057596
2,28,RECOVERED,14,1780307998.9065363
2,19,RECOVERED,15,1780307998.908128
2,31,RECOVERED,16,1780307998.9089167
2,16,RECOVERED,17,1780307998.9115536
2,15,RECOVERED,18,1780307998.9130538
2,32,RECOVERED,19,1780307998.9139843
2,9,RECOVERED,20,1780307998.9154642
2,12,RECOVERED,21,1780307998.9161272
2,23,RECOVERED,22,1780307998.9173234
2,14,RECOVERED,23,1780307998.9185305
2,21,SENT,23,1780308000.728253
2,28,SENT,23,1780308002.5082545
2,19,SENT,23,1780308004.2642632
2,31,SENT,23,1780308005.936267
2,16,SENT,23,1780308007.7442632
2,15,SENT,23,1780308009.6762698
2,32,SENT,23,1780308011.0962582
2,9,SENT,23,1780308012.6122541
2,12,SENT,23,1780308014.4682598
2,23,SENT,23,1780308016.2442632
2,14,SENT,23,1780308017.688258
2,1,RECOVERED,24,1780308033.94068
2,1,SENT,24,1780308035.4042675
2,34,RECOVERED,25,1780308038.0417304
2,17,RECOVERED,26,1780308038.0432417
2,34,SENT,26,1780308039.5762749
2,17,SENT,26,1780308041.4682627
2,5,RECOVERED,27,1780308041.4709432
2,30,RECOVERED,28,1780308041.4764009
2,5,SENT,28,1780308043.2642553
2,30,SENT,28,1780308045.1603196
2,3,RECOVERED,29,1780308048.0626576
2,20,RECOVERED,30,1780308048.0654716
2,37,RECOVERED,31,1780308048.0662272
2,4,RECOVERED,32,1780308048.0671396
2,0,RECOVERED,33,1780308048.067852
2,36,RECOVERED,34,1780308048.069195
2,29,RECOVERED,35,1780308048.0699642
2,33,RECOVERED,36,1780308048.070656
2,2,RECOVERED,37,1780308048.071361
2,7,RECOVERED,38,1780308048.0726798
2,-1,COMPLETE_171.66,38,1780308048.0752344
2,3,SENT,38,1780308049.8922493
2,20,SENT,38,1780308051.8162594
2,37,SENT,38,1780308053.2362459
2,4,SENT,38,1780308055.0322473
2,0,SENT,38,1780308056.444237
2,36,SENT,38,1780308058.004272
2,29,SENT,38,1780308059.8621285
2,33,SENT,38,1780308061.5082612
2,2,SENT,38,1780308063.112261
2,7,SENT,38,1780308064.7082667
2,30,RECOVERED,1,1780308423.4834678
2,30,SENT,1,1780308425.3602855
2,4,RECOVERED,2,1780308425.3606791
2,4,SENT,2,1780308426.948263
2,15,RECOVERED,3,1780308435.4442213
2,15,SENT,3,1780308437.000256
2,22,RECOVERED,4,1780308447.5247653
2,22,SENT,4,1780308448.8802488
2,27,RECOVERED,5,1780308451.900729
2,27,SENT,5,1780308453.3522584
2,18,RECOVERED,6,1780308461.6840703
2,24,RECOVERED,7,1780308461.6850622
2,18,SENT,7,1780308463.604256
2,24,SENT,7,1780308465.200256
2,6,RECOVERED,8,1780308486.8007
2,6,SENT,8,1780308488.1562507
2,35,RECOVERED,9,1780308495.518241
2,35,SENT,9,1780308497.432257
2,5,RECOVERED,10,1780308509.631887
2,9,RECOVERED,11,1780308509.6345997
2,33,RECOVERED,12,1780308509.6357732
2,31,RECOVERED,13,1780308509.6366231
